Date,Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Ground,Fatalities (air),Aboard,Survivors,Continent
1990-12-06,1990,Qtr 4,December,6,Indonesia,IPTN,IPTN 332C Super Puma,0,10,12,2,Asia
2016-12-03,2016,Qtr 4,December,3,Indonesia,Unknown,PZL M28 Skytruck,0,13,13,0,Asia
1941-12-29,1941,Qtr 4,December,29,Indonesia,Short,Short S.23 Empire,0,4,4,0,Asia
2002-12-23,2002,Qtr 4,December,23,Iran,Antonov,Antonov An-140,0,44,44,0,Asia
1950-12-01,1950,Qtr 4,December,1,Iran,McDonnell Douglas,Douglas DC-3,0,8,8,0,Asia
1952-12-25,1952,Qtr 4,December,25,Iran,McDonnell Douglas,Douglas DC-3,0,27,29,2,Asia
1946-12-04,1946,Qtr 4,December,4,Iran,Lisunov,Lisunov Li-2,0,24,24,0,Asia
2005-12-06,2005,Qtr 4,December,6,Iran,Lockheed,Lockheed C-130 Hercules,14,94,94,0,Asia
1951-12-23,1951,Qtr 4,December,23,Iran,Aerospatiale,SNCASE Languedoc,0,22,22,0,Asia
1946-12-28,1946,Qtr 4,December,28,Ireland,Lockheed,Lockheed 049 Constellation,0,13,23,10,Europe
1995-12-13,1995,Qtr 4,December,13,Italy,Antonov,Antonov An-24,0,49,49,0,Europe
1973-12-17,1973,Qtr 4,December,17,Italy,Boeing,Boeing 707,0,30,177,147,Europe
1978-12-16,1978,Qtr 4,December,16,Italy,Cessna,Cessna 421 Golden Eagle,0,10,10,0,Europe
1948-12-06,1948,Qtr 4,December,6,Italy,McDonnell Douglas,Douglas DC-3,0,7,7,0,Europe
1956-12-22,1956,Qtr 4,December,22,Italy,McDonnell Douglas,Douglas DC-3,0,21,21,0,Europe
1948-12-31,1948,Qtr 4,December,31,Italy,McDonnell Douglas,Douglas DC-3,0,13,13,0,Europe
1940-12-24,1940,Qtr 4,December,24,Italy,Savoia,Savoia-Marchetti SM.75,0,7,7,0,Europe
1937-12-05,1937,Qtr 4,December,5,Italy,Short,Short S.23 Empire,0,2,8,6,Europe
1937-12-05,1937,Qtr 4,December,5,Italy,Short,Short S.23 Empire,0,2,19,17,Europe
1959-12-21,1959,Qtr 4,December,21,Italy,Vickers,Vickers 785D Viscount,0,2,2,0,Europe
1946-12-10,1946,Qtr 4,December,10,Japan,Curtiss,Curtiss-Wright C-46,0,24,24,0,Asia
1946-12-25,1946,Qtr 4,December,25,China,Curtiss,Curtiss C 47?,3,13,34,21,Asia
2012-12-25,2012,Qtr 4,December,25,Kazakhstan,Antonov,Antonov An-72,0,27,27,0,Asia
2019-12-27,2019,Qtr 4,December,27,Kazakhstan,Fokker,Fokker 100,0,12,98,86,Asia
1941-12-26,1941,Qtr 4,December,26,Kazakhstan,Tupolev,Tupolev ANT-6,0,26,34,8,Asia
1990-12-04,1990,Qtr 4,December,4,Kenya,Boeing,Boeing 707,0,10,10,0,Africa
1961-12-24,1961,Qtr 4,December,24,Egypt,Grumman,Grumman G-21A Goose,0,1,5,4,Africa
1999-12-10,1999,Qtr 4,December,10,Kuwait,Lockheed,Lockheed C-130 Hercules,0,3,94,91,Asia
1947-12-10,1947,Qtr 4,December,10,Canada,McDonnell Douglas,Douglas DC-4,0,23,29,6,North America
1969-12-23,1969,Qtr 4,December,23,Senegal,McDonnell Douglas,Douglas DC-3,0,6,6,0,Africa
1954-12-04,1954,Qtr 4,December,4,Algeria,McDonnell Douglas,Douglas DC-3,0,29,29,0,Africa
1967-12-07,1967,Qtr 4,December,7,Namibia,McDonnell Douglas,Douglas DC-3,0,10,12,2,Africa
1993-12-13,1993,Qtr 4,December,13,Ukraine,Harbin,Harbin Y-12,0,18,18,0,Europe
1967-12-30,1967,Qtr 4,December,30,Latvia,Antonov,Antonov An-24,0,44,51,7,Europe
1977-12-02,1977,Qtr 4,December,2,Lebanon,Tupolev,Tupolev Tu-154,0,59,165,106,Asia
1992-12-22,1992,Qtr 4,December,22,Libya,Boeing,Boeing 727,0,157,157,0,Africa
1977-12-08,1977,Qtr 4,December,8,United States,Aerospatiale,Aérospatiale SA 330J Puma,0,17,19,2,North America
1953-12-17,1953,Qtr 4,December,17,United States,Boeing,Boeing B-29 Superfortress,8,11,16,5,North America
1963-12-08,1963,Qtr 4,December,8,United States,Boeing,Boeing 707,0,81,81,0,North America
1989-12-01,1989,Qtr 4,December,1,United States,CASA,CASA C-212 Aviocar,0,5,5,0,North America
1988-12-08,1988,Qtr 4,December,8,Mauritania,McDonnell Douglas,Douglas DC-7C,0,5,5,0,Africa
1992-12-09,1992,Qtr 4,December,9,Mexico,Britten-Norman,Britten-Norman,0,9,9,0,North America
1947-12-28,1947,Qtr 4,December,28,Mexico,McDonnell Douglas,Douglas DC-2,3,5,10,5,North America
1968-12-26,1968,Qtr 4,December,26,Mexico,McDonnell Douglas,Douglas DC-3,0,12,12,0,North America
1968-12-31,1968,Qtr 4,December,31,Mexico,McDonnell Douglas,Douglas DC-3,0,26,26,0,North America
1949-12-16,1949,Qtr 4,December,16,Mexico,McDonnell Douglas,Douglas DC-3,0,17,17,0,North America
2012-12-09,2012,Qtr 4,December,9,Mexico,Gates Learjet,Learjet 25,0,7,7,0,North America
1938-12-02,1938,Qtr 4,December,2,Mexico,Lockheed,Lockheed 10 Electra,0,8,8,0,North America
1990-12-03,1990,Qtr 4,December,3,United States,Boeing,Boeing 727,0,8,198,190,North America
1964-12-30,1964,Qtr 4,December,30,United States,Curtiss,Curtiss C-46,0,4,4,0,North America
1993-12-01,1993,Qtr 4,December,1,United States,British Aerospace,British Aerospace Jetstream,0,18,18,0,North America
1934-12-08,1934,Qtr 4,December,8,United States,Lockheed,Lockheed Vega 5C,0,1,1,0,North America
1945-12-08,1945,Qtr 4,December,8,United States,McDonnell Douglas,Douglas DC-3,0,17,21,4,North America
1922-12-03,1922,Qtr 4,December,3,Morocco,Breguet,Breguet 14,0,1,1,0,Africa
1939-12-24,1939,Qtr 4,December,24,Morocco,Savoia,Savoia-Marchetti SM.83,0,7,7,0,Africa
1973-12-22,1973,Qtr 4,December,22,Morocco,Sud Aviation,Sud Aviation Caravelle,0,106,106,0,Africa
2012-12-25,2012,Qtr 4,December,25,Myanmar,Fokker,Fokker 100,1,1,71,70,Asia
1987-12-21,1987,Qtr 4,December,21,Mongolia,Aerospatiale,Aérospatiale SA 330J Puma,0,15,15,0,Asia
2014-12-28,2014,Qtr 4,December,28,Turkmenistan,Airbus,Airbus A320,0,162,162,0,Asia
1988-12-10,1988,Qtr 4,December,10,Papua New Guinea,Antonov,Antonov An-32,0,25,25,0,Oceania
1944-12-03,1944,Qtr 4,December,3,Luxembourg,Avro,Avro Lancaster,0,5,5,0,Europe
1997-12-28,1997,Qtr 4,December,28,Tanzania,Boeing,Boeing 747,0,1,393,392,Africa
1994-12-10,1994,Qtr 4,December,10,Afghanistan,Boeing,Boeing 747,0,1,293,292,Asia
2008-12-15,2008,Qtr 4,December,15,Canada,Britten-Norman,Britten-Norman BN-2A Trislander,0,12,12,0,North America
1931-12-09,1931,Qtr 4,December,9,Estonia,Unknown,CAMS 56,0,2,2,0,Europe
1989-12-30,1989,Qtr 4,December,30,Estonia,Cessna,Cessna 207,0,5,5,0,Europe
1987-12-30,1987,Qtr 4,December,30,Fiji,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,17,17,0,Oceania
1945-12-05,1945,Qtr 4,December,5,Liberia,Grumman,Five Grumman TBM Avengers?,0,14,14,0,Africa
1939-12-18,1939,Qtr 4,December,18,Austria,Junkers,Junkers Ju 52,0,9,9,0,Europe
1939-12-21,1939,Qtr 4,December,21,Unknown,Lockheed,Lockheed 14 Super Electra,0,5,8,3,Unknown
1934-12-31,1934,Qtr 4,December,31,Zimbabwe,Tupolev,Tupolev ANT-9,0,10,10,0,Africa
1944-12-15,1944,Qtr 4,December,15,Belgium,Unknown,Noorduyn Norseman,0,3,3,0,Europe
1923-12-23,1923,Qtr 4,December,23,Germany,Zeppelin,Zeppelin Dixmunde,0,52,52,0,Europe
1977-12-04,1977,Qtr 4,December,4,Bulgaria,Boeing,Boeing 737,0,100,100,0,Europe
1981-12-01,1981,Qtr 4,December,1,Lebanon,McDonnell Douglas,McDonnell Douglas MD-81,0,180,180,0,Asia
1984-12-22,1984,Qtr 4,December,22,Nepal,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,15,23,8,Asia
1999-12-25,1999,Qtr 4,December,25,Nepal,De Havilland,de Havilland Canada DHC 6 Twin Otter9N,0,10,10,0,Asia
2010-12-15,2010,Qtr 4,December,15,Nepal,De Havilland,de Havilland Canada DHC 6 Twin Otter9N,0,22,22,0,Asia
1985-12-30,1985,Qtr 4,December,30,Nepal,Short,Shorts SC.7 Skyvan,0,25,25,0,Asia
1972-12-21,1972,Qtr 4,December,21,Netherlands,De Havilland,de Havilland Canada DHC 6 Twin Otter 300F,0,13,13,0,Europe
1938-12-09,1938,Qtr 4,December,9,Netherlands,Lockheed,Lockheed 14 Super Electra,0,4,4,0,Europe
2011-12-07,2011,Qtr 4,December,7,United States,Aerospatiale,Aérospatiale AS 350 Ecureuil,0,5,5,0,North America
1965-12-04,1965,Qtr 4,December,4,Unknown,Boeing,Boeing 707,0,4,112,108,Unknown
1951-12-29,1951,Qtr 4,December,29,Papua New Guinea,Curtiss,Curtiss C-46,0,26,40,14,Oceania
1951-12-16,1951,Qtr 4,December,16,Libya,Curtiss Wright,Curtiss-Wright C-46,1,56,56,0,Africa
1918-12-16,1918,Qtr 4,December,16,India,De Havilland,De Havilland DH 4,0,1,1,0,Asia
1994-12-17,1994,Qtr 4,December,17,United States,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,28,28,0,North America
1976-12-12,1976,Qtr 4,December,12,Rwanda,De Havilland,de Havilland Canada DHC 6 Twin Otter 300N101AC,0,3,10,7,Africa
1945-12-30,1945,Qtr 4,December,30,Cambodia,McDonnell Douglas,Douglas DC-3,0,1,12,11,Asia
1954-12-18,1954,Qtr 4,December,18,Unknown,McDonnell Douglas,Douglas DC-6,0,26,32,6,Unknown
1996-12-24,1996,Qtr 4,December,24,Gabon,Gates Learjet,Learjet 35A,0,2,2,0,Africa
1969-12-05,1969,Qtr 4,December,5,Pakistan,Lockheed,Lockheed 18 08 Lodestar	N410M,0,9,9,0,Asia
1960-12-16,1960,Qtr 4,December,16,Oman,McDonnell Douglas,MD DC 8,6,128,128,0,Asia
1985-12-12,1985,Qtr 4,December,12,Canada,McDonnell Douglas,McDonnell Douglas DC 8 Super 63PFN950JW,0,256,256,0,North America
1961-12-15,1961,Qtr 4,December,15,Nicaragua,Curtiss,Curtiss C 46AN,0,2,2,0,North America
1982-12-09,1982,Qtr 4,December,9,Nicaragua,Mil,Mil Mi-8,0,84,88,4,North America
2005-12-10,2005,Qtr 4,December,10,Nigeria,McDonnell Douglas,McDonnell Douglas DC-9,0,108,110,2,Africa
1994-12-13,1994,Qtr 4,December,13,South Africa,British Aerospace,British Aerospace Jetstream,0,15,20,5,Africa
1971-12-04,1971,Qtr 4,December,4,South Africa,McDonnell Douglas,McDonnell Douglas DC-9,0,2,29,27,Africa
1983-12-17,1983,Qtr 4,December,17,Zambia,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,2,12,10,Africa
1945-12-18,1945,Qtr 4,December,18,Norway,McDonnell Douglas,Douglas DC-3,0,17,17,0,Europe
1972-12-23,1972,Qtr 4,December,23,Norway,Fokker,Fokker F-28 Fellowship,0,40,45,5,Europe
1993-12-03,1993,Qtr 4,December,3,Pakistan,Britten-Norman,Britten-Norman BN-2A Trislander,0,7,7,0,Asia
1997-12-27,1997,Qtr 4,December,27,Kenya,Antonov,Antonov An-72,0,5,5,0,Africa
2007-12-05,2007,Qtr 4,December,5,United States,Cessna,Cessna 208B Caravan I,0,2,2,0,North America
1923-12-06,1923,Qtr 4,December,6,United States,De Havilland,De Havilland DH 4,0,1,1,0,North America
1929-12-02,1929,Qtr 4,December,2,United States,McDonnell Douglas,Douglas M-3,0,1,1,0,North America
1928-12-20,1928,Qtr 4,December,20,United States,McDonnell Douglas,Douglas M-4,0,1,1,0,North America
1931-12-31,1931,Qtr 4,December,31,United States,Fairchild,Fairchild Pilgrim 100A,0,4,5,1,North America
1962-12-20,1962,Qtr 4,December,20,Guadeloupe,Unknown,Boeing KB-50,0,12,12,0,North America
1938-12-08,1938,Qtr 4,December,8,Unknown,Nakajima,Nakajima A-T2J,0,10,15,5,Unknown
2003-12-16,2003,Qtr 4,December,16,Canada,De Havilland,De Havilland Canada DHC-3 Otter,0,2,3,1,North America
1978-12-28,1978,Qtr 4,December,28,United States,McDonnell Douglas,McDonnell Douglas DC-8,0,10,189,179,North America
1926-12-16,1926,Qtr 4,December,16,United States,Ryan,Ryan M-12,0,1,1,0,North America
2016-12-07,2016,Qtr 4,December,7,Pakistan,ATR,ATR 42,0,48,48,0,Asia
1949-12-30,1949,Qtr 4,December,30,Pakistan,McDonnell Douglas,Douglas DC-4,0,7,7,0,Asia
1949-12-12,1949,Qtr 4,December,12,Pakistan,McDonnell Douglas,Douglas DC-3,0,26,26,0,Asia
1972-12-08,1972,Qtr 4,December,8,Pakistan,Fokker,Fokker F-27 Friendship,0,26,26,0,Asia
1997-12-31,1997,Qtr 4,December,31,Panama,Britten-Norman,Britten-Norman BN-2A Trislander,0,10,10,0,North America
2002-12-13,2002,Qtr 4,December,13,Papua New Guinea,Britten-Norman,Britten-Norman,0,8,8,0,Oceania
1995-12-22,1995,Qtr 4,December,22,Papua New Guinea,Britten-Norman,Britten-Norman BN-2,0,2,12,10,Oceania
1951-12-13,1951,Qtr 4,December,13,Papua New Guinea,De Havilland,De Havilland DH.84 Dragon,0,3,3,0,Oceania
1979-12-23,1979,Qtr 4,December,23,Papua New Guinea,GAF,GAF Nomad 22BP2 DNL,0,16,16,0,Oceania
2016-12-18,2016,Qtr 4,December,18,Papua New Guinea,Lockheed,Lockheed C 130H Hercules  	A,0,13,13,0,Oceania
1968-12-24,1968,Qtr 4,December,24,United States,Convair,Convair CV-580,0,20,47,27,North America
1936-12-19,1936,Qtr 4,December,19,United States,McDonnell Douglas,Douglas DC-2,0,0,11,11,North America
1954-12-22,1954,Qtr 4,December,22,United States,McDonnell Douglas,Douglas DC-3,0,10,28,18,North America
1959-12-01,1959,Qtr 4,December,1,United States,Lockheed,Martin 202,0,25,26,1,North America
1979-12-22,1979,Qtr 4,December,22,Peru,De Havilland,De Havilland Canada DHC-5 Buffalo,0,29,29,0,South America
1984-12-19,1984,Qtr 4,December,19,Peru,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,21,21,0,South America
1976-12-31,1976,Qtr 4,December,31,Peru,McDonnell Douglas,Douglas DC-4,0,19,19,0,South America
1964-12-24,1964,Qtr 4,December,24,Peru,McDonnell Douglas,Douglas DC-3,0,1,23,22,South America
1967-12-08,1967,Qtr 4,December,8,Peru,McDonnell Douglas,Douglas DC-3,0,72,72,0,South America
1987-12-08,1987,Qtr 4,December,8,Peru,Fokker,Fokker F-27 Friendship,0,42,43,1,South America
1957-12-11,1957,Qtr 4,December,11,Philippines,De Havilland,De Havilland Canada DHC-3 Otter,0,2,12,10,Asia
1950-12-19,1950,Qtr 4,December,19,Philippines,McDonnell Douglas,Douglas DC-4,0,38,38,0,Asia
1946-12-14,1946,Qtr 4,December,14,Philippines,McDonnell Douglas,Douglas DC-3,0,12,14,2,Asia
1965-12-16,1965,Qtr 4,December,16,Philippines,McDonnell Douglas,Douglas DC-3,0,2,21,19,Asia
1960-12-22,1960,Qtr 4,December,22,Philippines,McDonnell Douglas,Douglas DC-3,0,28,37,9,Asia
1964-12-21,1964,Qtr 4,December,21,Philippines,McDonnell Douglas,Douglas DC-3,0,1,39,38,Asia
1999-12-07,1999,Qtr 4,December,7,Philippines,Let,Let L-410 Turbolet,0,17,17,0,Asia
1993-12-15,1993,Qtr 4,December,15,Philippines,Lockheed,Lockheed C-130 Hercules,0,29,29,0,Asia
1987-12-13,1987,Qtr 4,December,13,Philippines,Short,Shorts 360,0,15,15,0,Asia
1935-12-24,1935,Qtr 4,December,24,Poland,Heinkel,Heinkel He 70,0,3,3,0,Europe
1962-12-19,1962,Qtr 4,December,19,Poland,Vickers,Vickers 804 Viscount,0,33,33,0,Europe
1977-12-18,1977,Qtr 4,December,18,Portugal,Aerospatiale,Sud Aviation Caravelle,0,36,57,21,Europe
1977-12-19,1977,Qtr 4,December,19,Puerto Rico,Britten-Norman,Britten-Norman,0,5,10,5,North America
1948-12-28,1948,Qtr 4,December,28,Puerto Rico,McDonnell Douglas,Douglas DC 3DSTN16002,0,32,32,0,North America
1972-12-31,1972,Qtr 4,December,31,Puerto Rico,McDonnell Douglas,Douglas DC-7C,0,5,5,0,North America
2008-12-03,2008,Qtr 4,December,3,Puerto Rico,Rockwell,Rockwell 690,0,3,3,0,North America
1980-12-23,1980,Qtr 4,December,23,Qatar,Lockheed,Lockheed L-1011 TriStar,0,2,291,289,Asia
1957-12-10,1957,Qtr 4,December,10,Canada,McDonnell Douglas,Douglas DC-3,0,3,10,7,North America
1974-12-29,1974,Qtr 4,December,29,Romania,Antonov,Antonov An-24,0,33,33,0,Europe
1989-12-28,1989,Qtr 4,December,28,Romania,Antonov,Antonov An-24,0,7,7,0,Europe
1970-12-07,1970,Qtr 4,December,7,Romania,BAC,BAC One-Eleven,0,19,27,8,Europe
2013-12-26,2013,Qtr 4,December,26,Russia,Antonov,Antonov An-12,0,9,9,0,Europe
1996-12-17,1996,Qtr 4,December,17,Russia,Antonov,Antonov An-12,0,18,18,0,Europe
1997-12-05,1997,Qtr 4,December,5,Russia,Antonov,Antonov An-124,44,23,23,0,Europe
1969-12-06,1969,Qtr 4,December,6,Russia,Antonov,Antonov An-12,0,8,8,0,Europe
1974-12-04,1974,Qtr 4,December,4,Russia,Antonov,Antonov An-2,0,13,18,5,Europe
1983-12-24,1983,Qtr 4,December,24,Russia,Antonov,Antonov An-24,0,44,49,5,Europe
1971-12-01,1971,Qtr 4,December,1,Russia,Antonov,Antonov An-24,0,57,57,0,Europe
1979-12-09,1979,Qtr 4,December,9,Russia,Antonov,Antonov An-26,0,7,7,0,Europe
1982-12-23,1982,Qtr 4,December,23,Russia,Antonov,Antonov An-26,0,16,16,0,Europe
1936-12-06,1936,Qtr 4,December,6,Russia,Antonov,Antonov An-9,0,9,14,5,Europe
1945-12-25,1945,Qtr 4,December,25,Russia,McDonnell Douglas,Douglas DC-3,0,10,10,0,Europe
1999-12-05,1999,Qtr 4,December,5,Russia,Ilyushin,Ilyushin Il-114,0,5,7,2,Europe
1969-12-10,1969,Qtr 4,December,10,Russia,Ilyushin,Ilyushin Il-14,0,17,17,0,Europe
1954-12-31,1954,Qtr 4,December,31,Russia,Ilyushin,Ilyushin Il-14,0,17,17,0,Europe
2001-12-01,2001,Qtr 4,December,1,Russia,Ilyushin,Ilyushin Il-76,0,18,18,0,Europe
1947-12-18,1947,Qtr 4,December,18,Russia,Ilyushin,Ilyushin Il-12,0,9,25,16,Europe
1957-12-18,1957,Qtr 4,December,18,Russia,Ilyushin,Ilyushin Il-12,0,27,27,0,Europe
1976-12-18,1976,Qtr 4,December,18,Russia,Ilyushin,Ilyushin Il-14,0,8,8,0,Europe
1960-12-26,1960,Qtr 4,December,26,Russia,Ilyushin,Ilyushin Il-18,0,17,17,0,Europe
1961-12-17,1961,Qtr 4,December,17,Russia,Ilyushin,Ilyushin Il-18,0,59,59,0,Europe
1961-12-31,1961,Qtr 4,December,31,Russia,Ilyushin,Ilyushin Il-18,0,32,119,87,Europe
1960-12-04,1960,Qtr 4,December,4,Russia,Ilyushin,Ilyushin 14M	 CCCP 52091,0,14,14,0,Europe
1988-12-07,1988,Qtr 4,December,7,Russia,Let,Let L-410 Turbolet,0,6,14,8,Europe
1955-12-09,1955,Qtr 4,December,9,Russia,Lisunov,Lisunov Li-2,0,21,21,0,Europe
1951-12-27,1951,Qtr 4,December,27,Russia,Lisunov,Lisunov Li-2,0,20,20,0,Europe
2016-12-25,2016,Qtr 4,December,25,Russia,Tupolev,Tupolev Tu-154,0,92,92,0,Europe
1966-12-02,1966,Qtr 4,December,2,Russia,Tupolev,Tupolev Tu-114,0,21,21,0,Europe
1984-12-23,1984,Qtr 4,December,23,Russia,Tupolev,Tupolev Tu-154,0,110,111,1,Europe
1995-12-07,1995,Qtr 4,December,7,Russia,Tupolev,Tupolev Tu-154,0,98,98,0,Europe
2010-12-04,2010,Qtr 4,December,4,Russia,Tupolev,Tupolev Tu-154,0,2,169,167,Europe
2012-12-29,2012,Qtr 4,December,29,Russia,Tupolev,Tupolev Tu-204,0,5,8,3,Europe
1942-12-12,1942,Qtr 4,December,12,Russia,Tupolev,Tupolev ANT-20,0,36,36,0,Europe
1976-12-17,1976,Qtr 4,December,17,Russia,Yakovlev,Yakovlev Yak-40,0,7,7,0,Europe
1987-12-03,1987,Qtr 4,December,3,Rwanda,Cessna,Cessna 404 Titan,0,14,14,0,Africa
2017-12-13,2017,Qtr 4,December,13,Argentina,ATR,ATR 42,0,1,25,24,South America
1986-12-25,1986,Qtr 4,December,25,Saudi Arabia,Boeing,Boeing 737,0,63,106,43,Asia
2004-12-11,2004,Qtr 4,December,11,Saudi Arabia,Ilyushin,Ilyushin Il-76,0,1,7,6,Asia
1956-12-31,1956,Qtr 4,December,31,Saudi Arabia,Lockheed,Lockheed C-121 Constellation,0,12,38,26,Asia
1988-12-21,1988,Qtr 4,December,21,United Kingdom,Boeing,Boeing 747,11,259,259,0,Europe
1943-12-17,1943,Qtr 4,December,17,United Kingdom,Lockheed,Lockheed 18 Lodestar,0,10,10,0,Europe
1993-12-09,1993,Qtr 4,December,9,Senegal,De Havilland,De Havilland Canada DHC-6 Twin Otter,0,3,3,0,Africa
1978-12-23,1978,Qtr 4,December,23,Italy,McDonnell Douglas,McDonnell Douglas DC-9,0,108,129,21,Europe
1954-12-12,1954,Qtr 4,December,12,Slovakia,McDonnell Douglas,Douglas DC-3,0,4,4,0,Europe
1974-12-12,1974,Qtr 4,December,12,South Africa,Boeing,Boeing Vertol CH-47 Chinook,0,54,54,0,Africa
1973-12-21,1973,Qtr 4,December,21,South Africa,Boeing,Boeing Vertol CH 47 (helilcopter)?,0,20,20,0,Africa
1955-12-17,1955,Qtr 4,December,17,South Africa,Curtiss,Curtiss C-46,0,2,2,0,Africa
2012-12-05,2012,Qtr 4,December,5,South Africa,McDonnell Douglas,Douglas DC-3,0,11,11,0,Africa
1973-12-28,1973,Qtr 4,December,28,South Africa,McDonnell Douglas,Douglas DC-3,0,1,25,24,Africa
1964-12-11,1964,Qtr 4,December,11,South Africa,Fairchild,Fairchild C-123 Provider,0,38,38,0,Africa
1965-12-11,1965,Qtr 4,December,11,South Africa,Fairchild,Fairchild C-123 Provider,0,85,85,0,Africa
1933-12-14,1933,Qtr 4,December,14,South Africa,Junkers,Junkers W 34,0,5,6,1,Africa
1983-12-07,1983,Qtr 4,December,7,Spain,Boeing,Boeing 727,0,93,135,42,Europe
1927-12-28,1927,Qtr 4,December,28,Spain,Breguet,Breguet 14,0,1,1,0,Europe
1920-12-24,1920,Qtr 4,December,24,Spain,Breguet,Breguet 14,0,1,1,0,Europe
1953-12-04,1953,Qtr 4,December,4,Spain,Bristol,Bristol 170 Freighter,0,23,33,10,Europe
1948-12-23,1948,Qtr 4,December,23,Spain,McDonnell Douglas,Douglas DC-3,0,27,27,0,Europe
1958-12-04,1958,Qtr 4,December,4,Spain,Aerospatiale,SNCASE Languedoc,0,21,21,0,Europe
1974-12-04,1974,Qtr 4,December,4,Sri Lanka,McDonnell Douglas,McDonnell Douglas DC-8,0,191,191,0,Asia
1971-12-06,1971,Qtr 4,December,6,Sudan,Fokker,Fokker F-27 Friendship,0,10,42,32,Africa
1919-12-11,1919,Qtr 4,December,11,United Kingdom,De Havilland,De Havilland DH 4,0,1,1,0,Europe
1991-12-27,1991,Qtr 4,December,27,Sweden,McDonnell Douglas,McDonnell Douglas MD-81,0,0,129,129,Europe
1953-12-19,1953,Qtr 4,December,19,Switzerland,Convair,Convair CV-240,0,1,44,43,Europe
1934-12-20,1934,Qtr 4,December,20,Belarus,McDonnell Douglas,Douglas DC-2,0,7,7,0,Europe
1952-12-22,1952,Qtr 4,December,22,Armenia,McDonnell Douglas,Douglas DC-3,0,9,0,-9,Asia
1953-12-21,1953,Qtr 4,December,21,Bulgaria,McDonnell Douglas,Douglas DC-3,0,9,15,6,Europe
2002-12-21,2002,Qtr 4,December,21,Taiwan,Aerospatiale,ATR 72,0,2,2,0,Asia
1991-12-29,1991,Qtr 4,December,29,Taiwan,Boeing,Boeing 747,0,5,5,0,Asia
1948-12-12,1948,Qtr 4,December,12,Taiwan,McDonnell Douglas,Douglas DC-3,0,2,10,8,Asia
1952-12-30,1952,Qtr 4,December,30,Taiwan,McDonnell Douglas,Douglas DC-3,0,2,10,8,Asia
1980-12-05,1980,Qtr 4,December,5,Tanzania,Piper,Piper PA-42 Cheyenne,0,10,10,0,Africa
1947-12-11,1947,Qtr 4,December,11,United States,McDonnell Douglas,Douglas DC-3,0,20,20,0,North America
1928-12-23,1928,Qtr 4,December,23,United States,Fairchild,Fairchild FC-2,0,4,4,0,North America
1934-12-22,1934,Qtr 4,December,22,United States,Lockheed,Lockheed Orion 9,0,1,1,0,North America
2008-12-11,2008,Qtr 4,December,11,United States,Bell,Bell 206 Jet Ranger,0,3,3,0,North America
1985-12-31,1985,Qtr 4,December,31,United States,McDonnell Douglas,Douglas DC-3,0,7,9,2,North America
1928-12-01,1928,Qtr 4,December,1,United States,Ford,Ford Tri-motor,0,5,5,0,North America
1932-12-14,1932,Qtr 4,December,14,United States,Ford,Ford Tri-motor,0,2,2,0,North America
1936-12-23,1936,Qtr 4,December,23,United States,Lockheed,Lockheed 10 Electra,0,6,6,0,North America
1929-12-30,1929,Qtr 4,December,30,United States,Travel Air,Travel Air B-6000,0,5,5,0,North America
1998-12-11,1998,Qtr 4,December,11,Thailand,Airbus,Airbus A310,0,102,146,44,Asia
1976-12-25,1976,Qtr 4,December,25,Thailand,Boeing,Boeing 707,19,53,53,0,Asia
1967-12-25,1967,Qtr 4,December,25,Thailand,McDonnell Douglas,Douglas DC 3HS,0,4,31,27,Asia
1931-12-06,1931,Qtr 4,December,6,Thailand,Fokker,Fokker F.VII,0,5,7,2,Asia
1962-12-28,1962,Qtr 4,December,28,Bangladesh,Unknown,Channel Air BridgeG ARSF,0,1,18,17,Asia
1999-12-29,1999,Qtr 4,December,29,Turkey,Antonov,Antonov An-28,0,6,6,0,Asia
1994-12-29,1994,Qtr 4,December,29,Turkey,Boeing,Boeing 737,0,57,76,19,Asia
1961-12-21,1961,Qtr 4,December,21,Turkey,De Havilland,De Havilland Comet,0,27,34,7,Asia
1979-12-23,1979,Qtr 4,December,23,Turkey,Fokker,Fokker F-28 Fellowship,0,41,45,4,Asia
1944-12-07,1944,Qtr 4,December,7,Ukraine,Lisunov,Lisunov Li-2,0,16,16,0,Europe
1973-12-23,1973,Qtr 4,December,23,Ukraine,Tupolev,Tupolev Tu-124,0,17,17,0,Europe
1999-12-22,1999,Qtr 4,December,22,United States,Boeing,Boeing 747,0,4,4,0,North America
1997-12-15,1997,Qtr 4,December,15,United States,Tupolev,Tupolev Tu-154,0,85,86,1,North America
1977-12-09,1977,Qtr 4,December,9,Zimbabwe,Antonov,Antonov An-24,0,17,23,6,Africa
1976-12-17,1976,Qtr 4,December,17,Libya,Antonov,Antonov An-24,0,48,55,7,Africa
1970-12-31,1970,Qtr 4,December,31,Benin,Ilyushin,Ilyushin Il-18,0,93,93,0,Africa
1984-12-04,1984,Qtr 4,December,4,Chad,Let,Let L-410 Turbolet,0,17,17,0,Africa
