Date,Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Ground,Fatalities (air),Aboard,Survivors,Continent
1947-04-28,1947,Qtr 2,April,28,Guernsey,Lockheed,Lockheed 18 LoadstarCF TDF,0,15,15,0,Europe
1933-04-23,1933,Qtr 2,April,23,Italy,Unknown,Cams 53 1F,0,5,8,3,Europe
1952-04-18,1952,Qtr 2,April,18,United States,Curtiss,Curtiss C-46,0,29,29,0,North America
1992-04-22,1992,Qtr 2,April,22,United States,De Havilland,de Havilland Canada DHC 6 Twin Otter 200N141PV,0,16,22,6,North America
1953-04-20,1953,Qtr 2,April,20,United States,McDonnell Douglas,Douglas DC 6BN91303,0,8,10,2,North America
1929-04-21,1929,Qtr 2,April,21,United States,Ford,Ford Tri-motor,0,6,6,0,North America
1979-04-14,1979,Qtr 2,April,14,United States,Grumman,Grumman G 21 GooseN11CS,0,1,11,10,North America
1973-04-12,1973,Qtr 2,April,12,United States,Lockheed,Lockheed P 3C / Convair CV,0,16,17,1,North America
2006-04-23,2006,Qtr 2,April,23,Cameroon,Antonov,Antonov 74TK 200UR,0,6,6,0,Africa
1955-04-18,1955,Qtr 2,April,18,Cameroon,De Havilland,De Havilland DH.114 Heron,0,12,14,2,Africa
1944-04-25,1944,Qtr 2,April,25,Canada,Consolidated,Consolidated Liberator?,0,16,16,0,North America
1991-04-04,1991,Qtr 2,April,4,Canada,McDonnell Douglas,Douglas DC-3,0,6,7,1,North America
1980-04-25,1980,Qtr 2,April,25,Spain,Boeing,Boeing 727,0,146,146,0,Europe
1965-04-14,1965,Qtr 2,April,14,Samoa,McDonnell Douglas,Douglas C 47BG,0,26,27,1,Oceania
2007-04-27,2007,Qtr 2,April,27,Malawi,Mil,Mi 8?,0,18,18,0,Africa
1954-04-13,1954,Qtr 2,April,13,Chile,McDonnell Douglas,Douglas DC 3956,0,14,14,0,South America
1961-04-03,1961,Qtr 2,April,3,Chile,McDonnell Douglas,Douglas DC-3,0,24,24,0,South America
1968-04-08,1968,Qtr 2,April,8,Chile,McDonnell Douglas,Douglas DC-3,0,36,36,0,South America
2019-04-16,2019,Qtr 2,April,16,Chile,Pilatus,Pilatus,0,6,6,0,South America
1945-04-09,1945,Qtr 2,April,9,China,McDonnell Douglas,Douglas C 4788,0,3,3,0,Asia
1999-04-15,1999,Qtr 2,April,15,China,McDonnell Douglas,McDonnell Douglas MD 11HL,0,3,3,0,Asia
1934-04-10,1934,Qtr 2,April,10,China,Sikorsky,Sikorsky S 38BBNV17V,0,3,3,0,Asia
1946-04-08,1946,Qtr 2,April,8,Hungary,Unknown,Unknown,0,14,14,0,Europe
1922-04-08,1922,Qtr 2,April,8,Ireland,Unknown,Unknown,0,17,17,0,Europe
1989-04-26,1989,Qtr 2,April,26,Colombia,Aerospatiale,Aérospatiale SE 210 CaravelleHK,0,5,5,0,South America
2002-04-19,2002,Qtr 2,April,19,Colombia,Antonov,Antonov AN 32AHK,0,3,8,5,South America
2012-04-30,2012,Qtr 2,April,30,Colombia,Bell,Bell 212FAC 4020,0,13,13,0,South America
1998-04-20,1998,Qtr 2,April,20,Colombia,Boeing,Boeing 727,0,53,53,0,South America
